Year,Month,Complex,Island,KLPreyGroup,freq,N
1987,8,SPEast,St. Paul,Arrowtooth,5,126
1987,8,SPEast,St. Paul,Cod,0,126
1987,8,SPEast,St. Paul,Eelpout,0,126
1987,8,SPEast,St. Paul,Flatfish,3,126
1987,8,SPEast,St. Paul,GBBM,4,126
1987,8,SPEast,St. Paul,GMGM,22,126
1987,8,SPEast,St. Paul,Gadus,10,126
1987,8,SPEast,St. Paul,Gonatid,1,126
1987,8,SPEast,St. Paul,Gonatus,0,126
1987,8,SPEast,St. Paul,Hake,0,126
1987,8,SPEast,St. Paul,Herring,13,126
1987,8,SPEast,St. Paul,HexSable,2,126
1987,8,SPEast,St. Paul,Lamprey,0,126
1987,8,SPEast,St. Paul,Lumpsucker,0,126
1987,8,SPEast,St. Paul,Myctophid,0,126
1987,8,SPEast,St. Paul,Octopus,0,126
1987,8,SPEast,St. Paul,Poacher,1,126
1987,8,SPEast,St. Paul,Pollock,106,126
1987,8,SPEast,St. Paul,Prickleback,0,126
1987,8,SPEast,St. Paul,Prowfish,11,126
1987,8,SPEast,St. Paul,RockSole,0,126
1987,8,SPEast,St. Paul,Rockfish,0,126
1987,8,SPEast,St. Paul,Salmon,7,126
1987,8,SPEast,St. Paul,Sandfish,6,126
1987,8,SPEast,St. Paul,Sandlance,15,126
1987,8,SPEast,St. Paul,Sculpin,1,126
1987,8,SPEast,St. Paul,Shark,0,126
1987,8,SPEast,St. Paul,Skate,0,126
1987,8,SPEast,St. Paul,Smelt,0,126
1987,8,SPEast,St. Paul,Smoothtongue,2,126
1987,8,SPEast,St. Paul,Snailfish,0,126
1987,8,SPEast,St. Paul,Squid,1,126
1987,8,SPEast,St. Paul,Stickleback,0,126
1987,8,SPEast,St. Paul,Wolffish,3,126
1987,8,SPEnglishBay,St. Paul,Arrowtooth,3,84
1987,8,SPEnglishBay,St. Paul,Cod,0,84
1987,8,SPEnglishBay,St. Paul,Eelpout,0,84
1987,8,SPEnglishBay,St. Paul,Flatfish,0,84
1987,8,SPEnglishBay,St. Paul,GBBM,6,84
1987,8,SPEnglishBay,St. Paul,GMGM,19,84
1987,8,SPEnglishBay,St. Paul,Gadus,7,84
1987,8,SPEnglishBay,St. Paul,Gonatid,1,84
1987,8,SPEnglishBay,St. Paul,Gonatus,0,84
1987,8,SPEnglishBay,St. Paul,Hake,0,84
1987,8,SPEnglishBay,St. Paul,Herring,5,84
1987,8,SPEnglishBay,St. Paul,HexSable,2,84
1987,8,SPEnglishBay,St. Paul,Lamprey,0,84
1987,8,SPEnglishBay,St. Paul,Lumpsucker,0,84
1987,8,SPEnglishBay,St. Paul,Myctophid,0,84
1987,8,SPEnglishBay,St. Paul,Octopus,0,84
1987,8,SPEnglishBay,St. Paul,Poacher,0,84
1987,8,SPEnglishBay,St. Paul,Pollock,65,84
1987,8,SPEnglishBay,St. Paul,Prickleback,1,84
1987,8,SPEnglishBay,St. Paul,Prowfish,8,84
1987,8,SPEnglishBay,St. Paul,RockSole,0,84
1987,8,SPEnglishBay,St. Paul,Rockfish,0,84
1987,8,SPEnglishBay,St. Paul,Salmon,3,84
1987,8,SPEnglishBay,St. Paul,Sandfish,2,84
1987,8,SPEnglishBay,St. Paul,Sandlance,3,84
1987,8,SPEnglishBay,St. Paul,Sculpin,0,84
1987,8,SPEnglishBay,St. Paul,Shark,0,84
1987,8,SPEnglishBay,St. Paul,Skate,0,84
1987,8,SPEnglishBay,St. Paul,Smelt,0,84
1987,8,SPEnglishBay,St. Paul,Smoothtongue,0,84
1987,8,SPEnglishBay,St. Paul,Snailfish,0,84
1987,8,SPEnglishBay,St. Paul,Squid,3,84
1987,8,SPEnglishBay,St. Paul,Stickleback,0,84
1987,8,SPEnglishBay,St. Paul,Wolffish,12,84
1987,8,SPReefPoint,St. Paul,Arrowtooth,3,53
1987,8,SPReefPoint,St. Paul,Cod,0,53
1987,8,SPReefPoint,St. Paul,Eelpout,0,53
1987,8,SPReefPoint,St. Paul,Flatfish,1,53
1987,8,SPReefPoint,St. Paul,GBBM,7,53
1987,8,SPReefPoint,St. Paul,GMGM,7,53
1987,8,SPReefPoint,St. Paul,Gadus,3,53
1987,8,SPReefPoint,St. Paul,Gonatid,2,53
1987,8,SPReefPoint,St. Paul,Gonatus,0,53
1987,8,SPReefPoint,St. Paul,Hake,0,53
1987,8,SPReefPoint,St. Paul,Herring,5,53
1987,8,SPReefPoint,St. Paul,HexSable,2,53
1987,8,SPReefPoint,St. Paul,Lamprey,0,53
1987,8,SPReefPoint,St. Paul,Lumpsucker,0,53
1987,8,SPReefPoint,St. Paul,Myctophid,0,53
1987,8,SPReefPoint,St. Paul,Octopus,0,53
1987,8,SPReefPoint,St. Paul,Poacher,0,53
1987,8,SPReefPoint,St. Paul,Pollock,42,53
1987,8,SPReefPoint,St. Paul,Prickleback,0,53
1987,8,SPReefPoint,St. Paul,Prowfish,5,53
1987,8,SPReefPoint,St. Paul,RockSole,0,53
1987,8,SPReefPoint,St. Paul,Rockfish,0,53
1987,8,SPReefPoint,St. Paul,Salmon,0,53
1987,8,SPReefPoint,St. Paul,Sandfish,1,53
1987,8,SPReefPoint,St. Paul,Sandlance,3,53
1987,8,SPReefPoint,St. Paul,Sculpin,0,53
1987,8,SPReefPoint,St. Paul,Shark,0,53
1987,8,SPReefPoint,St. Paul,Skate,0,53
1987,8,SPReefPoint,St. Paul,Smelt,0,53
1987,8,SPReefPoint,St. Paul,Smoothtongue,2,53
1987,8,SPReefPoint,St. Paul,Snailfish,0,53
1987,8,SPReefPoint,St. Paul,Squid,7,53
1987,8,SPReefPoint,St. Paul,Stickleback,0,53
1987,8,SPReefPoint,St. Paul,Wolffish,1,53
1988,8,SGNorth,St. George,Arrowtooth,1,60
1988,8,SGNorth,St. George,Cod,1,60
1988,8,SGNorth,St. George,Eelpout,0,60
1988,8,SGNorth,St. George,Flatfish,0,60
1988,8,SGNorth,St. George,GBBM,16,60
1988,8,SGNorth,St. George,GMGM,8,60
1988,8,SGNorth,St. George,Gadus,7,60
1988,8,SGNorth,St. George,Gonatid,2,60
1988,8,SGNorth,St. George,Gonatus,1,60
1988,8,SGNorth,St. George,Hake,0,60
1988,8,SGNorth,St. George,Herring,4,60
1988,8,SGNorth,St. George,HexSable,0,60
1988,8,SGNorth,St. George,Lamprey,0,60
1988,8,SGNorth,St. George,Lumpsucker,0,60
1988,8,SGNorth,St. George,Myctophid,1,60
1988,8,SGNorth,St. George,Octopus,0,60
1988,8,SGNorth,St. George,Poacher,0,60
1988,8,SGNorth,St. George,Pollock,42,60
1988,8,SGNorth,St. George,Prickleback,0,60
1988,8,SGNorth,St. George,Prowfish,0,60
1988,8,SGNorth,St. George,RockSole,0,60
1988,8,SGNorth,St. George,Rockfish,0,60
1988,8,SGNorth,St. George,Salmon,11,60
1988,8,SGNorth,St. George,Sandfish,0,60
1988,8,SGNorth,St. George,Sandlance,4,60
1988,8,SGNorth,St. George,Sculpin,1,60
1988,8,SGNorth,St. George,Shark,0,60
1988,8,SGNorth,St. George,Skate,1,60
1988,8,SGNorth,St. George,Smelt,0,60
1988,8,SGNorth,St. George,Smoothtongue,2,60
1988,8,SGNorth,St. George,Snailfish,0,60
1988,8,SGNorth,St. George,Squid,2,60
1988,8,SGNorth,St. George,Stickleback,0,60
1988,8,SGNorth,St. George,Wolffish,0,60
1988,8,SGSouth,St. George,Arrowtooth,0,22
1988,8,SGSouth,St. George,Cod,0,22
1988,8,SGSouth,St. George,Eelpout,0,22
1988,8,SGSouth,St. George,Flatfish,1,22
1988,8,SGSouth,St. George,GBBM,10,22
1988,8,SGSouth,St. George,GMGM,2,22
1988,8,SGSouth,St. George,Gadus,5,22
1988,8,SGSouth,St. George,Gonatid,2,22
1988,8,SGSouth,St. George,Gonatus,0,22
1988,8,SGSouth,St. George,Hake,0,22
1988,8,SGSouth,St. George,Herring,0,22
1988,8,SGSouth,St. George,HexSable,0,22
1988,8,SGSouth,St. George,Lamprey,0,22
1988,8,SGSouth,St. George,Lumpsucker,0,22
1988,8,SGSouth,St. George,Myctophid,0,22
1988,8,SGSouth,St. George,Octopus,0,22
1988,8,SGSouth,St. George,Poacher,0,22
1988,8,SGSouth,St. George,Pollock,10,22
1988,8,SGSouth,St. George,Prickleback,0,22
1988,8,SGSouth,St. George,Prowfish,0,22
1988,8,SGSouth,St. George,RockSole,0,22
1988,8,SGSouth,St. George,Rockfish,0,22
1988,8,SGSouth,St. George,Salmon,1,22
1988,8,SGSouth,St. George,Sandfish,0,22
1988,8,SGSouth,St. George,Sandlance,2,22
1988,8,SGSouth,St. George,Sculpin,0,22
1988,8,SGSouth,St. George,Shark,0,22
1988,8,SGSouth,St. George,Skate,0,22
1988,8,SGSouth,St. George,Smelt,0,22
1988,8,SGSouth,St. George,Smoothtongue,0,22
1988,8,SGSouth,St. George,Snailfish,0,22
1988,8,SGSouth,St. George,Squid,1,22
1988,8,SGSouth,St. George,Stickleback,0,22
1988,8,SGSouth,St. George,Wolffish,0,22
1988,8,SPEast,St. Paul,Arrowtooth,2,83
1988,8,SPEast,St. Paul,Cod,0,83
1988,8,SPEast,St. Paul,Eelpout,0,83
1988,8,SPEast,St. Paul,Flatfish,0,83
1988,8,SPEast,St. Paul,GBBM,3,83
1988,8,SPEast,St. Paul,GMGM,4,83
1988,8,SPEast,St. Paul,Gadus,8,83
1988,8,SPEast,St. Paul,Gonatid,0,83
1988,8,SPEast,St. Paul,Gonatus,0,83
1988,8,SPEast,St. Paul,Hake,0,83
1988,8,SPEast,St. Paul,Herring,7,83
1988,8,SPEast,St. Paul,HexSable,4,83
1988,8,SPEast,St. Paul,Lamprey,1,83
1988,8,SPEast,St. Paul,Lumpsucker,0,83
1988,8,SPEast,St. Paul,Myctophid,0,83
1988,8,SPEast,St. Paul,Octopus,0,83
1988,8,SPEast,St. Paul,Poacher,0,83
1988,8,SPEast,St. Paul,Pollock,54,83
1988,8,SPEast,St. Paul,Prickleback,0,83
1988,8,SPEast,St. Paul,Prowfish,0,83
1988,8,SPEast,St. Paul,RockSole,0,83
1988,8,SPEast,St. Paul,Rockfish,0,83
1988,8,SPEast,St. Paul,Salmon,9,83
1988,8,SPEast,St. Paul,Sandfish,6,83
1988,8,SPEast,St. Paul,Sandlance,18,83
1988,8,SPEast,St. Paul,Sculpin,0,83
1988,8,SPEast,St. Paul,Shark,0,83
1988,8,SPEast,St. Paul,Skate,0,83
1988,8,SPEast,St. Paul,Smelt,0,83
1988,8,SPEast,St. Paul,Smoothtongue,1,83
1988,8,SPEast,St. Paul,Snailfish,0,83
1988,8,SPEast,St. Paul,Squid,2,83
1988,8,SPEast,St. Paul,Stickleback,0,83
1988,8,SPEast,St. Paul,Wolffish,0,83
1988,8,SPEnglishBay,St. Paul,Arrowtooth,1,31
1988,8,SPEnglishBay,St. Paul,Cod,0,31
1988,8,SPEnglishBay,St. Paul,Eelpout,0,31
1988,8,SPEnglishBay,St. Paul,Flatfish,0,31
1988,8,SPEnglishBay,St. Paul,GBBM,1,31
1988,8,SPEnglishBay,St. Paul,GMGM,7,31
1988,8,SPEnglishBay,St. Paul,Gadus,3,31
1988,8,SPEnglishBay,St. Paul,Gonatid,0,31
1988,8,SPEnglishBay,St. Paul,Gonatus,0,31
1988,8,SPEnglishBay,St. Paul,Hake,0,31
1988,8,SPEnglishBay,St. Paul,Herring,2,31
1988,8,SPEnglishBay,St. Paul,HexSable,0,31
1988,8,SPEnglishBay,St. Paul,Lamprey,0,31
1988,8,SPEnglishBay,St. Paul,Lumpsucker,0,31
1988,8,SPEnglishBay,St. Paul,Myctophid,0,31
1988,8,SPEnglishBay,St. Paul,Octopus,0,31
1988,8,SPEnglishBay,St. Paul,Poacher,0,31
1988,8,SPEnglishBay,St. Paul,Pollock,23,31
1988,8,SPEnglishBay,St. Paul,Prickleback,0,31
1988,8,SPEnglishBay,St. Paul,Prowfish,0,31
1988,8,SPEnglishBay,St. Paul,RockSole,0,31
1988,8,SPEnglishBay,St. Paul,Rockfish,0,31
1988,8,SPEnglishBay,St. Paul,Salmon,0,31
1988,8,SPEnglishBay,St. Paul,Sandfish,0,31
1988,8,SPEnglishBay,St. Paul,Sandlance,2,31
1988,8,SPEnglishBay,St. Paul,Sculpin,0,31
1988,8,SPEnglishBay,St. Paul,Shark,0,31
1988,8,SPEnglishBay,St. Paul,Skate,0,31
1988,8,SPEnglishBay,St. Paul,Smelt,0,31
1988,8,SPEnglishBay,St. Paul,Smoothtongue,0,31
1988,8,SPEnglishBay,St. Paul,Snailfish,0,31
1988,8,SPEnglishBay,St. Paul,Squid,3,31
1988,8,SPEnglishBay,St. Paul,Stickleback,0,31
1988,8,SPEnglishBay,St. Paul,Wolffish,0,31
1988,8,SPReefPoint,St. Paul,Arrowtooth,1,35
1988,8,SPReefPoint,St. Paul,Cod,1,35
1988,8,SPReefPoint,St. Paul,Eelpout,0,35
1988,8,SPReefPoint,St. Paul,Flatfish,0,35
1988,8,SPReefPoint,St. Paul,GBBM,2,35
1988,8,SPReefPoint,St. Paul,GMGM,7,35
1988,8,SPReefPoint,St. Paul,Gadus,5,35
1988,8,SPReefPoint,St. Paul,Gonatid,0,35
1988,8,SPReefPoint,St. Paul,Gonatus,0,35
1988,8,SPReefPoint,St. Paul,Hake,0,35
1988,8,SPReefPoint,St. Paul,Herring,2,35
1988,8,SPReefPoint,St. Paul,HexSable,0,35
1988,8,SPReefPoint,St. Paul,Lamprey,0,35
1988,8,SPReefPoint,St. Paul,Lumpsucker,0,35
1988,8,SPReefPoint,St. Paul,Myctophid,0,35
1988,8,SPReefPoint,St. Paul,Octopus,0,35
1988,8,SPReefPoint,St. Paul,Poacher,0,35
1988,8,SPReefPoint,St. Paul,Pollock,17,35
1988,8,SPReefPoint,St. Paul,Prickleback,0,35
1988,8,SPReefPoint,St. Paul,Prowfish,0,35
1988,8,SPReefPoint,St. Paul,RockSole,0,35
1988,8,SPReefPoint,St. Paul,Rockfish,0,35
1988,8,SPReefPoint,St. Paul,Salmon,8,35
1988,8,SPReefPoint,St. Paul,Sandfish,1,35
1988,8,SPReefPoint,St. Paul,Sandlance,1,35
1988,8,SPReefPoint,St. Paul,Sculpin,0,35
1988,8,SPReefPoint,St. Paul,Shark,0,35
1988,8,SPReefPoint,St. Paul,Skate,0,35
1988,8,SPReefPoint,St. Paul,Smelt,0,35
1988,8,SPReefPoint,St. Paul,Smoothtongue,2,35
1988,8,SPReefPoint,St. Paul,Snailfish,0,35
1988,8,SPReefPoint,St. Paul,Squid,2,35
1988,8,SPReefPoint,St. Paul,Stickleback,0,35
1988,8,SPReefPoint,St. Paul,Wolffish,0,35
1989,8,SPEast,St. Paul,Arrowtooth,1,79
1989,8,SPEast,St. Paul,Cod,1,79
1989,8,SPEast,St. Paul,Eelpout,0,79
1989,8,SPEast,St. Paul,Flatfish,2,79
1989,8,SPEast,St. Paul,GBBM,4,79
1989,8,SPEast,St. Paul,GMGM,14,79
1989,8,SPEast,St. Paul,Gadus,14,79
1989,8,SPEast,St. Paul,Gonatid,1,79
1989,8,SPEast,St. Paul,Gonatus,0,79
1989,8,SPEast,St. Paul,Hake,0,79
1989,8,SPEast,St. Paul,Herring,19,79
1989,8,SPEast,St. Paul,HexSable,9,79
1989,8,SPEast,St. Paul,Lamprey,0,79
1989,8,SPEast,St. Paul,Lumpsucker,0,79
1989,8,SPEast,St. Paul,Myctophid,1,79
1989,8,SPEast,St. Paul,Octopus,0,79
1989,8,SPEast,St. Paul,Poacher,0,79
1989,8,SPEast,St. Paul,Pollock,47,79
1989,8,SPEast,St. Paul,Prickleback,0,79
1989,8,SPEast,St. Paul,Prowfish,1,79
1989,8,SPEast,St. Paul,RockSole,0,79
1989,8,SPEast,St. Paul,Rockfish,0,79
1989,8,SPEast,St. Paul,Salmon,10,79
1989,8,SPEast,St. Paul,Sandfish,6,79
1989,8,SPEast,St. Paul,Sandlance,11,79
1989,8,SPEast,St. Paul,Sculpin,0,79
1989,8,SPEast,St. Paul,Shark,0,79
1989,8,SPEast,St. Paul,Skate,0,79
1989,8,SPEast,St. Paul,Smelt,0,79
1989,8,SPEast,St. Paul,Smoothtongue,4,79
1989,8,SPEast,St. Paul,Snailfish,1,79
1989,8,SPEast,St. Paul,Squid,2,79
1989,8,SPEast,St. Paul,Stickleback,0,79
1989,8,SPEast,St. Paul,Wolffish,0,79
1989,8,SPEnglishBay,St. Paul,Arrowtooth,1,149
1989,8,SPEnglishBay,St. Paul,Cod,2,149
1989,8,SPEnglishBay,St. Paul,Eelpout,0,149
1989,8,SPEnglishBay,St. Paul,Flatfish,1,149
1989,8,SPEnglishBay,St. Paul,GBBM,11,149
1989,8,SPEnglishBay,St. Paul,GMGM,53,149
1989,8,SPEnglishBay,St. Paul,Gadus,27,149
1989,8,SPEnglishBay,St. Paul,Gonatid,3,149
1989,8,SPEnglishBay,St. Paul,Gonatus,0,149
1989,8,SPEnglishBay,St. Paul,Hake,0,149
1989,8,SPEnglishBay,St. Paul,Herring,12,149
1989,8,SPEnglishBay,St. Paul,HexSable,2,149
1989,8,SPEnglishBay,St. Paul,Lamprey,0,149
1989,8,SPEnglishBay,St. Paul,Lumpsucker,0,149
1989,8,SPEnglishBay,St. Paul,Myctophid,0,149
1989,8,SPEnglishBay,St. Paul,Octopus,0,149
1989,8,SPEnglishBay,St. Paul,Poacher,0,149
1989,8,SPEnglishBay,St. Paul,Pollock,107,149
1989,8,SPEnglishBay,St. Paul,Prickleback,0,149
1989,8,SPEnglishBay,St. Paul,Prowfish,0,149
1989,8,SPEnglishBay,St. Paul,RockSole,0,149
1989,8,SPEnglishBay,St. Paul,Rockfish,0,149
1989,8,SPEnglishBay,St. Paul,Salmon,12,149
1989,8,SPEnglishBay,St. Paul,Sandfish,3,149
1989,8,SPEnglishBay,St. Paul,Sandlance,3,149
1989,8,SPEnglishBay,St. Paul,Sculpin,0,149
1989,8,SPEnglishBay,St. Paul,Shark,0,149
1989,8,SPEnglishBay,St. Paul,Skate,0,149
1989,8,SPEnglishBay,St. Paul,Smelt,0,149
1989,8,SPEnglishBay,St. Paul,Smoothtongue,3,149
1989,8,SPEnglishBay,St. Paul,Snailfish,0,149
1989,8,SPEnglishBay,St. Paul,Squid,4,149
1989,8,SPEnglishBay,St. Paul,Stickleback,0,149
1989,8,SPEnglishBay,St. Paul,Wolffish,12,149
1989,8,SPReefPoint,St. Paul,Arrowtooth,1,54
1989,8,SPReefPoint,St. Paul,Cod,0,54
1989,8,SPReefPoint,St. Paul,Eelpout,0,54
1989,8,SPReefPoint,St. Paul,Flatfish,1,54
1989,8,SPReefPoint,St. Paul,GBBM,6,54
1989,8,SPReefPoint,St. Paul,GMGM,15,54
1989,8,SPReefPoint,St. Paul,Gadus,14,54
1989,8,SPReefPoint,St. Paul,Gonatid,2,54
1989,8,SPReefPoint,St. Paul,Gonatus,0,54
1989,8,SPReefPoint,St. Paul,Hake,0,54
1989,8,SPReefPoint,St. Paul,Herring,2,54
1989,8,SPReefPoint,St. Paul,HexSable,1,54
1989,8,SPReefPoint,St. Paul,Lamprey,0,54
1989,8,SPReefPoint,St. Paul,Lumpsucker,0,54
1989,8,SPReefPoint,St. Paul,Myctophid,0,54
1989,8,SPReefPoint,St. Paul,Octopus,0,54
1989,8,SPReefPoint,St. Paul,Poacher,0,54
1989,8,SPReefPoint,St. Paul,Pollock,31,54
1989,8,SPReefPoint,St. Paul,Prickleback,0,54
