Complex,Year,var,value
SGNorth,1987,walleye pollock_MeanCPUEkg,11425.2806820755
SGNorth,1987,walleye pollock_MeanCPUENo,20138.7833365472
SGNorth,1987,walleye pollock_SumCPUEkg,605539.87615
SGNorth,1987,walleye pollock_SumCPUENo,1067355.516837
SGNorth,1988,walleye pollock_MeanCPUEkg,15691.8944194615
SGNorth,1988,walleye pollock_MeanCPUENo,22408.8965343462
SGNorth,1988,walleye pollock_SumCPUEkg,815978.509812
SGNorth,1988,walleye pollock_SumCPUENo,1165262.619786
SGNorth,1989,walleye pollock_MeanCPUEkg,17392.4847593208
SGNorth,1989,walleye pollock_MeanCPUENo,24647.2262709245
SGNorth,1989,walleye pollock_SumCPUEkg,921801.692244
SGNorth,1989,walleye pollock_SumCPUENo,1306302.992359
SGNorth,1990,walleye pollock_MeanCPUEkg,12059.4945445192
SGNorth,1990,walleye pollock_MeanCPUENo,14413.0701756538
SGNorth,1990,walleye pollock_SumCPUEkg,627093.716315
SGNorth,1990,walleye pollock_SumCPUENo,749479.649134
SGNorth,1991,walleye pollock_MeanCPUEkg,17921.2745717059
SGNorth,1991,walleye pollock_MeanCPUENo,21566.734622451
SGNorth,1991,walleye pollock_SumCPUEkg,913985.003157
SGNorth,1991,walleye pollock_SumCPUENo,1099903.465745
SGNorth,1992,walleye pollock_MeanCPUEkg,10847.1457400755
SGNorth,1992,walleye pollock_MeanCPUENo,14250.5197127925
SGNorth,1992,walleye pollock_SumCPUEkg,574898.724224
SGNorth,1992,walleye pollock_SumCPUENo,755277.544778
SGNorth,1993,walleye pollock_MeanCPUEkg,14411.4227169231
SGNorth,1993,walleye pollock_MeanCPUENo,22423.7447637115
SGNorth,1993,walleye pollock_SumCPUEkg,749393.98128
SGNorth,1993,walleye pollock_SumCPUENo,1166034.727713
SGNorth,1994,walleye pollock_MeanCPUEkg,13134.8066143148
SGNorth,1994,walleye pollock_MeanCPUENo,19645.6232790556
SGNorth,1994,walleye pollock_SumCPUEkg,709279.557173
SGNorth,1994,walleye pollock_SumCPUENo,1060863.657069
SGNorth,1995,walleye pollock_MeanCPUEkg,17233.9076148846
SGNorth,1995,walleye pollock_MeanCPUENo,24287.1421826538
SGNorth,1995,walleye pollock_SumCPUEkg,896163.195974
SGNorth,1995,walleye pollock_SumCPUENo,1262931.393498
SGNorth,1996,walleye pollock_MeanCPUEkg,12420.5641439434
SGNorth,1996,walleye pollock_MeanCPUENo,18982.5700906226
SGNorth,1996,walleye pollock_SumCPUEkg,658289.899629
SGNorth,1996,walleye pollock_SumCPUENo,1006076.214803
SGNorth,1997,walleye pollock_MeanCPUEkg,5159.13990430189
SGNorth,1997,walleye pollock_MeanCPUENo,6827.96675192453
SGNorth,1997,walleye pollock_SumCPUEkg,273434.414928
SGNorth,1997,walleye pollock_SumCPUENo,361882.237852
SGNorth,1998,walleye pollock_MeanCPUEkg,3472.12867890566
SGNorth,1998,walleye pollock_MeanCPUENo,7126.84147554717
SGNorth,1998,walleye pollock_SumCPUEkg,184022.819982
SGNorth,1998,walleye pollock_SumCPUENo,377722.598204
