year,rcod,aug_date,rookeryNum,deadPups,pupsBorn,SE_pups,harBulls,idlBulls,totBulls,notes
1987,LUK,20,1,183,4186,,76,45,121,
1987,KIT,20,2,288,8121,,219,66,285,
1987,REE,23,3,880,20503,,427,254,681,
1987,GOR,22,4,697,12877,,280,210,490,
1987,ARD,22,5,114,3294,,57,16,73,
1987,MOR,22,6,336,11354,,245,143,388,
1987,VOS,22,7,771,26776,,570,279,849,
1987,POL,20,8,48,1978,,56,122,178,
1987,LPO,20,9,16,368,,19,34,53,
1987,PCL,20,10,536,14862,,318,81,399,
1987,TOL,21,11,1368,23818,,483,169,652,
1987,ZAR,23,12,334,7740,,145,60,205,
1987,LZA,23,13,878,13456,,288,69,357,
1987,ZAP,23,14,1308,22179,,453,344,797,
1987,SOU,,21,,,,203,139,342,
1987,NOR,,22,,,,529,305,834,
1987,ERE,,23,,,,80,54,134,
1987,ECL,,24,,,,229,336,565,
1987,STA,,25,,,,96,158,254,
1987,SGZ,,26,,,,166,291,457,
1988,LUK,20,1,204,4751,,86,71,157,
1988,KIT,19,2,307,,,214,130,344,
1988,REE,15,3,727,,,393,328,721,
1988,GOR,14,4,487,,,268,279,547,
1988,ARD,14,5,63,,,66,15,81,
1988,MOR,16,6,391,,,228,275,503,
1988,VOS,19,7,959,31188,,568,385,953,
1988,POL,19,8,53,,,43,209,252,
1988,LPO,15,9,10,278,,14,86,100,
1988,PCL,15,10,451,,,304,162,466,
1988,TOL,20,11,1314,,,511,375,886,
1988,ZAR,18,12,384,,,142,135,277,
1988,LZA,20,13,820,17190,,287,224,511,
1988,ZAP,19,14,1029,26535,,461,527,988,
1988,SOU,17,21,157,4383,,276,147,423,
1988,NOR,16,22,534,9488,,415,542,957,
1988,ERE,15,23,12,690,,60,52,112,
1988,ECL,15,24,246,3878,,237,191,428,
1988,STA,15,25,111,2652,,96,184,280,
1988,SGZ,17,26,151,3728,,175,142,317,
1989,LUK,16,1,184,,,106,146,252,
1989,KIT,15,2,282,,,223,258,481,
1989,REE,18,3,918,22776,,466,724,1190,
1989,GOR,14,4,796,,,320,537,857,
1989,ARD,18,5,129,2501,,77,27,104,
1989,MOR,16,6,387,,,327,399,726,
1989,VOS,17,7,1099,26097,,778,766,1544,
1989,POL,16,8,50,,,39,307,346,
1989,LPO,,9,0,,,13,210,223,
1989,PCL,16,10,462,16231,,345,247,592,
1989,TOL,19,11,1526,,,519,702,1221,
1989,ZAR,20,12,485,,,162,338,500,
1989,LZA,20,13,1044,,,332,334,666,
1989,ZAP,20,14,1734,,,590,1405,1995,
1989,SOU,,21,,,,227,106,333,
1989,NOR,,22,,,,452,365,817,
1989,ERE,,23,,,,54,57,111,
1989,ECL,,24,,,,234,265,499,
1989,STA,,25,,,,87,126,213,
1989,SGZ,,26,,,,187,244,431,
1990,LUK,24,1,586,4680,862,129,215,344,
1990,KIT,24,2,424,9638,699,230,477,707,
1990,REE,20,3,1378,23725,487,484,561,1045,
1990,GOR,24,4,640,15960,912,361,702,1063,
1990,ARD,24,5,121,2430,372,78,33,111,
1990,MOR,20,6,396,13235,582,341,883,1224,
1990,VOS,22,7,981,32220,1486,785,970,1755,
1990,POL,21,8,54,2244,79,60,331,391,
1990,LPO,,9,,,,15,91,106,
1990,PCL,21,10,652,18009,562,407,440,847,
1990,TOL,23,11,1145,27891,183,552,1169,1721,
1990,ZAR,23,12,443,6057,462,142,199,341,
1990,LZA,23,13,918,17636,538,323,453,776,
1990,ZAP,22,14,1367,26897,2833,523,1105,1628,
1990,SOU,17,21,135,4102,561,178,144,322,
1990,NOR,16,22,435,8927,1193,337,449,786,
1990,ERE,17,23,7,796,40,54,230,284,
1990,ECL,17,24,119,3926,1485,150,232,382,
1990,STA,16,25,111,1989,508,68,161,229,
1990,SGZ,17,26,121,3657,122,122,450,572,
1991,LUK,,1,,,,103,228,331,
1991,KIT,,2,,,,225,492,717,
1991,REE,,3,,,,485,1107,1592,
1991,GOR,,4,,,,388,919,1307,
1991,ARD,,5,,,,86,54,140,
1991,MOR,,6,,,,391,807,1198,
1991,VOS,,7,,,,869,1054,1923,
1991,POL,,8,,,,57,469,526,
1991,LPO,,9,,,,13,517,530,
1991,PCL,,10,,,,433,484,917,
